General : Specimen number,1
General : Start time,"4/6/2021 1:14 PM"
General : End time,"4/6/2021 1:15 PM"
Test : Test rate,"5.00000",mm/min
Specimen properties : Thickness,"3.00000",mm
Specimen properties : Width,"13.30000",mm
Specimen properties : Length,"50.00000",mm

Time,Extension,Load
(s),(mm),(N)
"31.40000","2.76025","655.81909"
"31.50000","2.76857","654.10864"
"31.60000","2.77706","651.95734"
"31.70000","2.78548","647.75751"
"31.72000","2.78726","641.70892"
"31.72200","2.78778","630.61530"
"31.72300","2.78811","621.94910"
"31.72400","2.78847","611.29321"
"31.72500","2.78884","598.90771"
"31.72600","2.78922","585.04071"
"31.72700","2.78961","569.89001"
"31.72800","2.79000","553.68048"
"31.72900","2.79039","536.60022"
"31.73000","2.79078","518.77277"
"31.73100","2.79116","500.34039"
"31.73200","2.79153","481.46774"
"31.73300","2.79188","462.28894"
"31.73400","2.79222","442.91800"
"31.73500","2.79254","423.46896"
"31.73600","2.79284","404.02478"
"31.73700","2.79313","384.63239"
